Laptop Name,Laptop Link,Laptop Price,Laptop Reviews,Laptop Location
"Daraz Like New Laptops - Dell Latitude 6430, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 14"" Led Display, (Windows 10 Registered) FREE LAPTOP BAG",https://www.daraz.pk/products/daraz-like-new-laptops-dell-latitude-6430-core-i5-3rd-generation-8gb-ram-500gb-hard-drive-14-led-display-windows-10-registered-free-laptop-bag-i407519359-s1956102834.html?search=1,"Rs. 27,999",-32,Pakistan
Daraz Like New Laptops - HP EliteBook 820 G4 - Core i5 7th Generation - 8GB DDR4 RAM - 128GB SSD AND 500GB HDD- 12.5inch Screen - FREE LAPTOP BAG,https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-820-g4-core-i5-7th-generation-8gb-ddr4-ram-128gb-ssd-and-500gb-hdd-125inch-screen-free-laptop-bag-i372051481-s1841202859.html?search=1,"Rs. 56,999",-19,Pakistan
Dell Chromebook 11 3189 - 360 TouchScreen - Intel Celeron N3060 - 4GB Ram - 16GB SSD With Play Store - PUBG Supported - With Box/Bag,https://www.daraz.pk/products/dell-chromebook-11-3189-360-touchscreen-intel-celeron-n3060-4gb-ram-16gb-ssd-with-play-store-pubg-supported-with-boxbag-i405541006-s1951830807.html?search=1,"Rs. 15,998",-17,Pakistan
"Dell 3189 Convertible Chromebook 11.6 inches HD IPS Touchscreen, Intel Celeron N3060 Up to 2.48GHz, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS - FREE LAPTOP BAG",https://www.daraz.pk/products/dell-3189-convertible-chromebook-116-inches-hd-ips-touchscreen-intel-celeron-n3060-up-to-248ghz-4gb-ram-16gb-ssd-hdmi-wifi-webcam-chrome-os-free-laptop-bag-i405246469-s1952275907.html?search=1,"Rs. 15,299",-17,Pakistan
"Core 2 Due Mixed laptop ,4Gb ram 320 GB Hard drive with charger best for office work",https://www.daraz.pk/products/core-2-due-mixed-laptop-4gb-ram-250-gb-hard-drive-with-charger-best-for-office-work-i230865850-s1451022272.html?search=1,"Rs. 17,000",-71,Pakistan
"Apple MacBook Pro (13-inch, 2011) - 2.3GHz dual-core Intel Core i5 Processor - RAM 8GB DDR3 - 500GB HDDD - MacOS Installed",https://www.daraz.pk/products/apple-macbook-pro-13-inch-2011-23ghz-dual-core-intel-core-i5-processor-ram-8gb-ddr3-500gb-hddd-macos-installed-i403035517-s1944658041.html?search=1,"Rs. 42,500",-1,Free Shipping
HP Chromebook 11 G4 / 4 gb ram 16 gb rom / Refurbished Laptops/ laptop,https://www.daraz.pk/products/hp-4-gb11-g4-16-gb-i413531950-s1983264337.html?search=1,"Rs. 12,999",-4,Pakistan
Lenovo N22 Chromebook – 11.6″ – 4 GB RAM – 16 GB ROM – With Play Store - PUBG Supported - With Box/Bag,https://www.daraz.pk/products/n22-116-4-gb-16-gb-pubg-i374611935-s1857012794.html?search=1,"Rs. 12,999",-48,Pakistan
Lenovo Thinkpad X240 - Core i5 4th Generation - 8GB RAM - 500GB HDD - 12.5inches Screen - FREE LAPTOP BAG,https://www.daraz.pk/products/lenovo-thinkpad-x240-core-i5-4th-generation-8gb-ram-500gb-hdd-125inches-screen-free-laptop-bag-i363477868-s1814567420.html?search=1,"Rs. 29,499",-20,Pakistan
Lenovo Thinkpad – X230 – Core i5 3rd Gen – 4 GB RAM – 250 GB – 12.5″ FREE LAPTOP BAG,https://www.daraz.pk/products/lenovo-thinkpad-x230-core-i5-3rd-gen-4-gb-ram-250-gb-125-free-laptop-bag-i352848855-s1785804638.html?search=1,"Rs. 24,999",-42,Free Shipping
Hp Elitebook 820 G4 - Core i5 7th Generation - 8GB RAM - 128GB SSD - 500GB HDD - 12.5inch Screen - Free Laptop Bag,https://www.daraz.pk/products/hp-elitebook-820-g4-core-i5-7th-generation-8gb-ram-128gb-ssd-500gb-hdd-125inch-screen-free-laptop-bag-i367060081-s1822132299.html?search=1,"Rs. 53,999",-41,Pakistan
HP ProBook 640 G1 - Core i5 4th Generation - 4GB RAM - 500GB HDD - 14inch Screen - Free Laptop Bag,https://www.daraz.pk/products/hp-probook-640-g1-core-i5-4th-generation-4gb-ram-500gb-hdd-14inch-screen-free-laptop-bag-i257193166-s1474063678.html?search=1,"Rs. 36,499",-57,Pakistan
Daraz Like New Laptops - HP ELITEBOOK 840-G5 8TH GENERATION INTEL CORE-I5 8250u PROCESSOR 8GB RAM 256GB SSD FHD 14.1’INCH (WINDOWS 11 ACTIVATED) FREE LAPTOP BAG,https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g5-8th-generation-intel-core-i5-8250u-processor-8gb-ram-256gb-ssd-fhd-141inch-windows-11-activated-free-laptop-bag-i383680690-s1885482512.html?search=1,"Rs. 82,999",-4,Pakistan
"MacBook Air (13-inch, Early 2015) 4gb 128gb",https://www.daraz.pk/products/13-2015-4gb-128gb-i360719506-s1810665219.html?search=1,"Rs. 65,000",-8,Free Shipping
Lenovo Thinkpad x140e | A4-5000 Quad-Core processor | 4GB RAM | 500GB HDD,https://www.daraz.pk/products/lenovo-thinkpad-x140e-a4-5000-quad-core-processor-4gb-ram-500gb-hdd-i280939190-s1510738182.html?search=1,"Rs. 15,499",-13,Free Shipping
Hp/Toshiba/Lenovo/i3 2nd Generation Mix brands Laptop 4GB RAM / 320GB HARD DISK/ FRESH CONDITION,https://www.daraz.pk/products/hptoshibalenovoi3-2nd-generation-mix-brands-laptop-4gb-ram-320gb-hard-disk-fresh-condition-i363475484-s1983347938.html?search=1,"Rs. 23,000",-9,Pakistan
Daraz Like New Laptops - Apple Macbook Air A1466 2017 Intel core i7 8gb 256gb Intel | Mac OS,https://www.daraz.pk/products/daraz-like-new-laptops-apple-macbook-air-a1466-2017-intel-core-i7-8gb-256gb-intel-mac-os-i418647221-s1982605991.html?search=1,"Rs. 94,999",-3,Free Shipping
"HP EliteBook 840 G3 - 14” HD, Intel Core i5-6200U 2.4Ghz, 6th Gen 8GB DDR4 Ram 128GB SSD + 500GB HDD Windows 10 Pro 64bit",https://www.daraz.pk/products/hp-elitebook-840-g3-14-hd-intel-core-i5-6200u-24ghz-6th-gen-8gb-ddr4-ram-128gb-ssd-500gb-hdd-windows-10-pro-64bit-i176228441-s1349902707.html?search=1,"Rs. 51,999",-61,Pakistan
"HP Probook 640 G2 14"" , Core i5-6300U 2.4GHz, 8GB RAM, 500GB HDD Drive, Windows 10 Pro 64Bit,",https://www.daraz.pk/products/hp-probook-640-g2-14-fhd-core-i5-6300u-24ghz-8gb-ram-500gb-hdd-drive-windows-10-pro-64bit-i269382144-s1483355617.html?search=1,"Rs. 44,999",-50,Pakistan
"Daraz Like New Laptops - Dell Latitude 6530, Core i5 3rd generation, 8GB Ram, 500GB Hard Drive, 15.6"" Led Display, Numeric Keypad (Windows 10 Registered) FREE LAPTOP BAG",https://www.daraz.pk/products/daraz-like-new-laptops-dell-latitude-6530-core-i5-3rd-generation-8gb-ram-500gb-hard-drive-156-led-display-numeric-keypad-windows-10-registered-free-laptop-bag-i407513989-s1956099518.html?search=1,"Rs. 31,999",-10,Pakistan
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 256GB SSD - 12.5inch Screen - FREE LAPTOP BAG,https://www.daraz.pk/products/hp-820-g3-6th-i5-8gb-ddr4-256gb-ssd-i257192748-s1474080023.html?search=1,"Rs. 45,999",-46,Pakistan
"Daraz Like New Laptops - Apple MacBook Air A1466 Early 2015 With 1.6GHz Intel Core i5 (13.3 inch, 4GB RAM, 128GB) Silver",https://www.daraz.pk/products/daraz-like-new-laptops-apple-macbook-air-a1466-early-2015-with-16ghz-intel-core-i5-133-inch-4gb-ram-128gb-silver-i378462299-s1866342307.html?search=1,"Rs. 59,999",-12,Free Shipping
Hp Elitebook 820 G3 - Core i5 6th Generation - 8GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),https://www.daraz.pk/products/hp-elitebook-820-g3-core-i5-6th-generation-8gb-ddr4-ram-128gb-ssd-500gb-hdd-125inch-screen-free-laptop-bag-windows-11-licensed-i416217439-s1977135986.html?search=1,"Rs. 44,999",-1,Pakistan
Daraz Like New Laptops - Dell Chromebook 11 3189 - 360 TouchScreen - Intel Celeron N3060 - 4GB Ram - 16GB SSD With Play Store - PUBG Supported - With Box/Bag,https://www.daraz.pk/products/daraz-like-new-laptops-dell-chromebook-11-3189-360-touchscreen-intel-celeron-n3060-4gb-ram-16gb-ssd-with-play-store-pubg-supported-with-boxbag-i413164955-s1970889900.html?search=1,"Rs. 15,839",-3,Free Shipping
Daraz Like New Laptops - HP EliteBook 1040 G3-14” LED - Intel core i5 6th Generation (6300u) - 8GB RAM - 256GB SSD - Windows 10 (Activated),https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-1040-g3-14-led-intel-core-i5-6th-generation-6300u-8gb-ram-256gb-ssd-windows-10-activated-i365610603-s1817902748.html?search=1,"Rs. 57,999",-5,Pakistan
Lenovo | N23 | 6th Gen | 16GB SSD Storage | 4GB RAM | 11.6″ Display | Rotatable Camera | PlayStore Supported | Chromebook,https://www.daraz.pk/products/lenovo-n23-6th-gen-16gb-ssd-storage-4gb-ram-116-display-rotatable-camera-playstore-supported-i421962419-s1996049915.html?search=1,"Rs. 11,500",-2,Free Shipping
Lenovo ThinkPad x131e Laptop | AMD Processor | 4GB RAM DD3 | 320GB HDD,https://www.daraz.pk/products/lenovo-thinkpad-x131e-laptop-amd-processor-4gb-ram-dd3-320gb-hdd-i146360783-s1309638253.html?search=1,"Rs. 14,500",-36,Free Shipping
Daraz Like New Laptops - HP EliteBook 840 G3 - Core i5 6th Generation - 8 GB RAM - 128GB SSD 500GB HDD- 14inch Screen - FREE LAPTOP BAG (WINDOWS 10 REGISTERED),https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g3-core-i5-6th-generation-8-gb-ram-128gb-ssd-500gb-hdd-14inch-screen-free-laptop-bag-windows-10-registered-i365602909-s1817894808.html?search=1,"Rs. 52,999",-28,Pakistan
HP ELITEBOOK 840-G5 8TH GENERATION | INTEL CORE-I5 | 8250u PROCESSOR | 16GB RAM | 512GB SSD | FHD | 14.1’INCH DISPLAY | SILVER | WIN11 PRO | REGITERED (FREE LAPTOP BAG),https://www.daraz.pk/products/hp-elitebook-840-g5-8th-generation-intel-core-i5-8250u-processor-16gb-ram-512gb-ssd-fhd-141inch-display-silver-win11-pro-regitered-free-laptop-bag-i376733666-s1862813244.html?search=1,"Rs. 94,999",-28,Free Shipping
Daraz Like New Laptops - Dell Chromebook 11 3120 -- Intel Celeron - 4GB Ram - 16GB SSD With Web Store - With Box/Bag,https://www.daraz.pk/products/daraz-like-new-laptops-dell-chromebook-11-3120-intel-celeron-4gb-ram-16gb-ssd-with-web-store-with-boxbag-i421376960-s1990002316.html?search=1,"Rs. 10,999",-1,Free Shipping
"Daraz Like New Laptops - HP ProBook 6470 , Core i5 3rd Genertion, 8GB DDR3 Ram, 128GB SSD Drive, 14.1"" Led Display, Intel HD Graphics Card",https://www.daraz.pk/products/daraz-like-new-laptops-hp-probook-6470-core-i5-3rd-genertion-8gb-ddr3-ram-128gb-ssd-drive-141-led-display-intel-hd-graphics-card-i416746763-s1978165331.html?search=1,"Rs. 24,999",-2,Pakistan
Grocery Ration Package - Pack of 8,https://www.daraz.pk/products/8-i410556875-s1963586260.html?search=1,"Rs. 9,000",,Pakistan
I3 Frist generation 4gb ram and 250gb hard disk with charger,https://www.daraz.pk/products/i3-frist-generation-4gb-ram-and-250gb-hard-disk-with-charger-i320552321-s1998973237.html?search=1,"Rs. 21,000",-8,Pakistan
Hp Elitebook 820 G3 - Core i5 6th Generation - 16GB DDR4 RAM - 128GB SSD - 500GB HDD -12.5inch Screen - FREE LAPTOP BAG (Windows 11 Licensed),https://www.daraz.pk/products/hp-elitebook-820-g3-core-i5-6th-generation-16gb-ddr4-ram-128gb-ssd-500gb-hdd-125inch-screen-free-laptop-bag-windows-11-licensed-i376744134-s1862845892.html?search=1,"Rs. 61,999",-15,Free Shipping
Lenovo Thinkpad T470 - Core i5 7th Generation - 8GB DDR4 - 256GB SSD - 14inch Screen - FREE LAPTOP BAG,https://www.daraz.pk/products/lenovo-thinkpad-t470-core-i5-7th-generation-8gb-ddr4-256gb-ssd-14inch-screen-free-laptop-bag-i392480090-s1916507431.html?search=1,"Rs. 54,499",-22,Free Shipping
"MacBook Air i5 (13-inch, Early 2015) 8gb 128gb",https://www.daraz.pk/products/i5-13-2015-8gb-128gb-i369903963-s1863143859.html?search=1,"Rs. 73,000",-2,Free Shipping
Daraz Like New Laptops - Lenovo Thinkpad X230 Core i5 3rd Gen 4 GB RAM 250 GB 12..5″ Windows 10 (Free Laptop Bag),https://www.daraz.pk/products/daraz-like-new-laptops-lenovo-thinkpad-x230-core-i5-3rd-gen-4-gb-ram-250-gb-125-windows-10-free-laptop-bag-i403903415-s1947631515.html?search=1,"Rs. 23,499",-7,Pakistan
"Dell Inspiron Chromebook 11 3100-11.6"" HD -Intel Celeron N4000-4GB - 32GB eMMC - Play Store - Chrome OS - Black",https://www.daraz.pk/products/11-3181-hd-116-32gb-emmc-os-i280252126-s1508230264.html?search=1,"Rs. 16,000",-26,Pakistan
"Daraz Like New Laptops - HP EliteBook 840 G3 Ultra Book, Core i5 6th generation, 8GB DDR Ram, 256GB Solid State Drive SSD, 14.1"" Led Display, Intel HD Graphics",https://www.daraz.pk/products/daraz-like-new-laptops-hp-elitebook-840-g3-ultra-book-core-i5-6th-generation-8gb-ddr-ram-256gb-solid-state-drive-ssd-141-led-display-intel-hd-graphics-i351044328-s1782382586.html?search=1,"Rs. 49,999",-10,Pakistan
AppleMacBook Pro 2014 8GB 128GB SSD Core i5,https://www.daraz.pk/products/ssd-i5-8gb-2014-gb-i367413763-s1822802918.html?search=1,"Rs. 99,999",-1,Pakistan
